,set_number,start_date,end_date,start_latitude,start_longitude,end_latitude,end_longitude,id
109,110,2023-06-22 14:56:23+00:00,2023-06-23 15:02:09+00:00,46.92424916666667,-64.52324133333333,46.923449166666664,-64.5233595,457
110,111,2023-06-22 15:05:02+00:00,2023-06-23 15:10:18+00:00,46.90319483333333,-64.55154083333333,46.902660166666664,-64.55131666666666,458
111,112,2023-07-04 15:16:27+00:00,2023-07-05 08:49:33+00:00,46.596731,-63.549636333333325,46.59646866666667,-63.549343,462
112,113,2023-07-04 15:26:48+00:00,2023-07-05 09:04:53+00:00,46.61880733333334,-63.57794583333333,46.61862983333333,-63.577667166666664,463
113,114,2023-07-04 15:36:58+00:00,2023-07-05 09:16:58+00:00,46.638274,-63.61047883333333,46.63809583333333,-63.60994983333334,464
114,115,2023-07-04 15:45:30+00:00,2023-07-05 09:31:20+00:00,46.660576666666664,-63.63875633333333,46.66038,-63.638165666666666,465
115,116,2023-07-04 15:54:47+00:00,2023-07-05 09:43:35+00:00,46.679852333333336,-63.6711605,46.6796365,-63.67072916666667,466
116,117,2023-07-04 16:03:22+00:00,2023-07-05 09:55:14+00:00,46.70177266666666,-63.699512666666664,46.701656166666666,-63.699139333333335,467
117,118,2023-07-04 16:15:05+00:00,2023-07-05 10:11:02+00:00,46.70150533333333,-63.760040000000004,46.70139966666667,-63.75966316666667,468
118,119,2023-07-04 16:24:05+00:00,2023-07-05 10:26:23+00:00,46.679336166666666,-63.731373,46.67940733333333,-63.731279666666666,469
119,120,2023-07-04 16:32:57+00:00,2023-07-05 10:38:55+00:00,46.66005416666667,-63.698738666666664,46.6599485,-63.6985695,470
120,121,2023-07-04 16:42:08+00:00,2023-07-05 10:51:15+00:00,46.6378665,-63.67059116666667,46.637879166666664,-63.670238499999996,471
121,122,2023-07-04 16:51:36+00:00,2023-07-05 11:02:50+00:00,46.61857833333333,-63.63830733333333,46.61864266666667,-63.6380995,472
122,123,2023-07-04 17:01:04+00:00,2023-07-05 11:16:54+00:00,46.59639216666667,-63.610067666666666,46.5964505,-63.61018466666667,473
123,124,2023-07-04 17:10:01+00:00,2023-07-05 11:32:11+00:00,46.57694883333333,-63.57763333333333,46.5770245,-63.57732049999999,474
124,125,2023-07-04 17:20:20+00:00,2023-07-05 11:46:40+00:00,46.561106333333335,-63.61096499999999,46.561055333333336,-63.6111195,475
125,126,2023-07-04 17:28:48+00:00,2023-07-05 11:59:57+00:00,46.577013666666666,-63.638290833333336,46.5770375,-63.63759783333333,476
126,127,2023-07-04 17:37:40+00:00,2023-07-05 12:13:08+00:00,46.5963925,-63.6708265,46.59652666666667,-63.670426666666664,477
127,128,2023-07-04 17:47:05+00:00,2023-07-05 12:26:23+00:00,46.618598666666664,-63.698957,46.618581999999996,-63.69881766666666,478
128,129,2023-07-04 17:55:54+00:00,2023-07-05 12:39:30+00:00,46.63786399999999,-63.73145349999999,46.637816166666674,-63.731242333333334,479
129,130,2023-07-04 18:04:22+00:00,2023-07-05 12:52:00+00:00,46.6600645,-63.75986316666667,46.65985883333333,-63.759205666666666,480
130,131,2023-07-04 18:12:48+00:00,2023-07-05 13:04:44+00:00,46.679389,-63.7922985,46.67918266666667,-63.79184266666667,481
131,132,2023-07-04 18:21:06+00:00,2023-07-05 13:18:08+00:00,46.65964983333333,-63.8201885,46.65979166666666,-63.8204655,482
132,133,2023-07-04 18:30:27+00:00,2023-07-05 13:31:51+00:00,46.637584833333335,-63.79170633333333,0.0,-0.0,483
133,134,2023-07-04 18:39:53+00:00,2023-07-05 13:44:40+00:00,46.6181825,-63.759224,46.61829133333333,-63.759214166666666,484
134,135,2023-07-04 18:49:06+00:00,2023-07-05 13:57:43+00:00,46.59607583333333,-63.73102733333333,46.59626166666666,-63.730970166666665,485
135,136,2023-07-04 19:03:50+00:00,2023-07-05 14:10:15+00:00,46.57663433333333,-63.69866533333333,46.57693449999999,-63.69872316666667,486
136,137,2023-07-04 19:39:27+00:00,2023-07-05 14:44:15+00:00,46.571617,-63.76867816666667,46.57155266666667,-63.76829483333333,487
137,138,2023-07-04 19:49:30+00:00,2023-07-05 15:02:17+00:00,46.590842333333335,-63.800776,46.590795666666665,-63.800881,488
138,139,2023-07-04 20:03:09+00:00,2023-07-05 15:24:54+00:00,46.550597,-63.849468333333334,46.550844166666664,-63.849285333333334,489
139,140,2023-07-04 20:13:21+00:00,2023-07-05 15:40:58+00:00,46.512519833333336,-63.8511825,46.512812833333335,-63.851117666666674,490
140,141,2023-07-04 20:21:51+00:00,2023-07-05 15:56:03+00:00,46.531382666666666,-63.81677783333333,46.53134583333333,-63.817094833333336,491
141,142,2023-07-04 20:28:56+00:00,2023-07-05 16:09:57+00:00,46.512528,-63.790651,46.512627333333334,-63.7910905,492
142,143,2023-07-04 20:36:33+00:00,2023-07-05 16:53:00+00:00,46.49319583333333,-63.758382166666664,46.49338933333333,-63.75845233333334,493
143,144,2023-07-04 20:44:46+00:00,2023-07-05 17:06:35+00:00,46.47121583333333,-63.730247166666665,46.471237333333335,-63.7302765,494
144,145,2023-07-04 20:52:52+00:00,2023-07-05 17:17:40+00:00,46.45416983333333,-63.75460916666667,46.454064833333334,-63.75499583333333,495
145,146,2023-07-04 21:01:17+00:00,2023-07-05 17:30:12+00:00,46.47133066666667,-63.790661666666665,46.47118583333334,-63.79034933333333,496
146,147,2023-07-04 21:24:16+00:00,2023-07-05 17:58:24+00:00,46.554458833333335,-63.791044666666664,46.55436866666666,-63.79111,497
147,148,2023-07-04 21:33:32+00:00,2023-07-05 18:33:14+00:00,46.534440499999995,-63.762246166666664,46.534501,-63.76226083333333,498
148,149,2023-07-04 21:41:39+00:00,2023-07-05 18:51:09+00:00,46.51865216666667,-63.73631600000001,46.51874733333333,-63.736058166666666,499
149,150,2023-07-04 21:58:53+00:00,2023-07-05 19:13:47+00:00,46.55458533333334,-63.730611999999994,46.55451433333333,-63.73051866666667,500
150,151,2023-07-05 08:54:26+00:00,2023-07-06 08:45:51+00:00,46.59662316666667,-63.54994466666667,46.59677416666667,-63.54932816666667,501
151,152,2023-07-05 09:07:02+00:00,2023-07-06 08:58:18+00:00,46.61835,-63.57792416666667,46.618626,-63.577691,502
152,153,2023-07-05 09:19:57+00:00,2023-07-06 09:10:42+00:00,46.63821316666667,-63.61036466666667,46.63794666666666,-63.6098895,503
153,154,2023-07-05 09:33:10+00:00,2023-07-06 09:22:28+00:00,46.66047416666667,-63.638720166666666,46.6602285,-63.63851433333333,504
154,155,2023-07-05 09:45:20+00:00,2023-07-06 09:32:56+00:00,46.679655833333335,-63.6712065,46.67936566666667,-63.670780666666666,505
155,156,2023-07-05 09:57:22+00:00,2023-07-06 09:43:52+00:00,46.70161933333333,-63.69946383333333,46.70144866666666,-63.699060333333335,506
156,157,2023-07-05 10:13:38+00:00,2023-07-06 09:57:17+00:00,46.70161066666667,-63.7599105,46.70128666666667,-63.759637,507
157,158,2023-07-05 10:27:08+00:00,2023-07-06 10:07:32+00:00,46.67948033333333,-63.731464,46.679232999999996,-63.73119616666666,508
158,159,2023-07-05 10:40:12+00:00,2023-07-06 10:19:49+00:00,46.660117333333325,-63.69896983333334,46.6599665,-63.6986825,509
159,160,2023-07-05 10:52:50+00:00,2023-07-06 10:30:57+00:00,46.637791,-63.67099916666667,46.63753533333333,-63.67031883333333,510
160,161,2023-07-05 11:06:13+00:00,2023-07-06 10:41:45+00:00,46.618565833333335,-63.6386505,46.618421166666664,-63.63833733333333,511
161,162,2023-07-05 11:18:23+00:00,2023-07-06 10:54:39+00:00,46.59661033333333,-63.610044333333335,46.59624733333333,-63.6098025,512
162,163,2023-07-05 11:35:23+00:00,2023-07-06 11:07:19+00:00,46.576922333333336,-63.57793233333334,46.5766355,-63.5771185,513
