id,cruise,set_number,new_station,experiment_type,shrimp_management,light_intensity,start_date,start_latitude_DD,start_latitude_MMmm,start_longitude_DD,start_longitude_MMmm,start_depth_m,end_date,end_latitude_DD,end_latitude_MMmm,end_longitude_DD,end_longitude_MMmm,end_depth_m,bridge,recorder,remarks,gear_type,auxiliary_equipment,trawl_retention_cable,trawl_cable_length,trawl_opening,port_warp,starboard_warp,warp_units_code,ship_direction,ship_speed,ship_speed_obtained_code,distance_towed,distance_towed_obtained_code,trawling_unit,shrimp_fishing_unit,set_duration,set_result,barometer,air_temperature_celsius,cloud_coverage_code,precipitation,weather_code,sea_code,swell_height_code,swell_period,wave_period,swell_direction,wave_height,wind_direction_degree,wind_direction_code,wind_force_kts,wind_force_code,tide_direction_code,is_opened,is_active,duration,track_distance,crow_distance,creation_date,created_by,last_modified_date,last_modified_by,cruise_id,new_station_id,experiment_type_id,shrimp_management_id,light_intensity_id,gear_type_id,auxiliary_equipment_id,set_result_id,swell_period_id,wave_period_id,created_by_id,last_modified_by_id
131,2021 Gulf Region Ecosystem Survey (TEL-2021-221),21,Station 090 (Primary) || Stratum 425,1 - Stratified random survey set,,9 - bright sunlight,2021-08-31 11:29:54+00:00,48,21.9983000000002,-62,29.670799999999872,246.0,2021-08-31 12:00:09+00:00,48,21.538500000000113,-62,27.094100000000253,246.0,Owen Power,Ross Hefford,,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,646,646,1,113,3.5,4,1.74,4,,,,1 - NORMAL - No damage to gear,1000.0,17.1,10,,46,1,1,,,,,274.0,8,11.0,5,2,False,False,30.25,1.79,1.78,2021-08-30 23:29:35.990000+00:00,dan,2021-09-06 03:01:34.253000+00:00,teleost_bridge,15,1870,1,,6,1,3,1,,,13,33
132,2021 Gulf Region Ecosystem Survey (TEL-2021-221),22,Station 091 (Primary) || Stratum 425,1 - Stratified random survey set,,,2021-08-31 17:14:29+00:00,48,23.787599999999657,-62,13.003499999999804,328.0,2021-08-31 17:44:11+00:00,48,23.73610000000008,-62,15.47709999999961,330.0,Owen Power,Ross Hefford,,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,907,907,1,270,3.5,4,1.64,4,,,,1 - NORMAL - No damage to gear,1011.0,16.9,10,,46,1,1,,,,,255.0,8,8.0,4,,False,False,29.7,1.65,1.65,2021-08-30 23:29:47.205000+00:00,dan,2021-09-06 03:20:41.062000+00:00,teleost_bridge,15,1871,1,,,1,3,1,,,13,33
133,2021 Gulf Region Ecosystem Survey (TEL-2021-221),23,Station 097 (Primary) || Stratum 426,1 - Stratified random survey set,,9 - bright sunlight,2021-08-31 19:23:10+00:00,48,15.38859999999977,-62,12.386399999999867,114.0,2021-08-31 19:53:38+00:00,48,16.899199999999837,-62,13.776400000000194,118.0,Owen Power,Ross Hefford,,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,364,364,1,330,3.5,4,1.78,4,,,,1 - NORMAL - No damage to gear,1010.0,17.4,10,,43,1,1,,,,,176.0,6,7.0,4,4,False,False,30.47,1.76,1.77,2021-08-31 12:32:14.142000+00:00,sylvie,2021-09-10 07:09:49.684000+00:00,teleost_bridge,15,1877,1,,6,1,3,1,,,15,33
134,2021 Gulf Region Ecosystem Survey (TEL-2021-221),24,Station 319 (Alternate 2) || Stratum 425,1 - Stratified random survey set,,6 - dusk or dawn,2021-08-31 23:17:21+00:00,48,19.356000000000222,-61,57.254199999999855,288.0,2021-08-31 23:47:54+00:00,48,18.29489999999987,-61,55.147399999999834,293.0,Owen Power,Colette Sullivan,,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,817,817,1,131,3.5,4,1.76,4,,,,1 - NORMAL - No damage to gear,1001.0,16.8,10,,42,1,1,,,,,160.0,6,10.0,4,3,False,False,30.55,1.76,1.76,2021-08-31 20:34:23.379000+00:00,dan,2021-09-06 03:17:31.270000+00:00,teleost_bridge,15,1732,1,,3,1,3,1,,,13,33
135,2021 Gulf Region Ecosystem Survey (TEL-2021-221),25,Station 322 (Alternate 2) || Stratum 426,1 - Stratified random survey set,,4 - dark,2021-09-01 02:44:17+00:00,48,10.178200000000288,-61,37.854499999999916,116.0,2021-09-01 03:14:06+00:00,48,9.139099999999871,-61,35.78240000000005,124.0,Clifford Combden,Colette Sullivan,"Upper bridle on the port side snapped, and a side panel had a major tear and needed to be replaced.",9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,368,368,1,124,3.5,4,1.76,4,,,,3 - FAILED - Major damage to gear,1001.0,18.3,2,,3,1,1,,,,,182.0,6,10.0,4,,False,False,29.82,1.72,1.73,2021-08-31 20:37:21.442000+00:00,dan,2021-09-01 12:20:40.434000+00:00,dan,15,1735,1,,1,1,3,3,,,13,13
139,2021 Gulf Region Ecosystem Survey (TEL-2021-221),26,Station 322 (Alternate 2) || Stratum 426,1 - Stratified random survey set,,4 - dark,2021-09-01 07:56:17+00:00,48,9.524900000000343,-61,36.76379999999972,117.0,2021-09-01 08:16:29+00:00,48,8.86929999999984,-61,35.29930000000013,119.0,Clifford Combden,Colette Sullivan,20 minute tow due to bottom,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,368,368,1,124,3.5,4,1.2,4,,,,1 - NORMAL - No damage to gear,1001.0,17.0,10,,48,1,1,,,,,30.0,3,10.0,4,3,False,False,20.2,1.17,1.18,2021-09-01 03:32:27.144000+00:00,sylvie,2021-09-05 01:03:39.925000+00:00,teleost_bridge,15,1735,1,,1,1,3,1,,,15,33
140,2021 Gulf Region Ecosystem Survey (TEL-2021-221),27,Station 093 (Primary) || Stratum 425,1 - Stratified random survey set,,,2021-09-01 09:43:57+00:00,48,11.422799999999825,-61,36.29689999999982,244.0,2021-09-01 10:14:01+00:00,48,10.869700000000194,-61,33.802200000000084,238.0,Clifford Combden,Ross Hefford,,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,708,708,1,110,3.5,4,1.77,4,,,,2 - NORMAL - Minor damage to gear - Catch unaffected,1001.0,17.5,10,,48,1,1,,,,,115.0,5,10.0,4,,False,False,30.07,1.75,1.76,2021-09-01 03:34:33.410000+00:00,sylvie,2021-09-06 03:03:24.940000+00:00,teleost_bridge,15,1873,1,,,1,3,2,,,15,33
141,2021 Gulf Region Ecosystem Survey (TEL-2021-221),28,Station 094 (Primary) || Stratum 425,1 - Stratified random survey set,,9 - bright sunlight,2021-09-01 13:16:13+00:00,48,5.86830000000009,-61,9.50649999999996,296.0,2021-09-01 13:46:44+00:00,48,4.978399999999965,-61,7.157500000000255,293.0,Clifford Combden,Ross Hefford,,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,841,841,1,119,3.5,4,1.81,4,,,,1 - NORMAL - No damage to gear,1003.0,18.5,6,,43,1,1,,,,,185.0,6,14.0,5,2,False,False,30.52,1.8,1.81,2021-09-01 03:34:36.850000+00:00,sylvie,2021-09-01 16:14:59.137000+00:00,teleost_bridge,15,1874,1,,6,1,3,1,,,15,33
142,2021 Gulf Region Ecosystem Survey (TEL-2021-221),29,Station 105 (Primary) || Stratum 427,1 - Stratified random survey set,,8 - bright but hazy,2021-09-01 15:41:42+00:00,47,57.51740000000018,-61,9.112999999999829,80.0,2021-09-01 16:11:58+00:00,47,55.753600000000006,-61,8.902300000000196,66.0,Owen Power,Ross Hefford,,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,230,230,1,185,3.5,4,1.77,4,,,,1 - NORMAL - No damage to gear,1003.0,18.0,9,,47,1,1,,,,,348.0,2,10.0,4,2,False,False,30.27,1.77,1.77,2021-09-01 14:08:39.972000+00:00,dan,2021-09-06 03:28:44.855000+00:00,teleost_bridge,15,1885,1,,5,1,3,1,,,13,33
143,2021 Gulf Region Ecosystem Survey (TEL-2021-221),30,Station 104 (Primary) || Stratum 427,1 - Stratified random survey set,,9 - bright sunlight,2021-09-01 17:39:58+00:00,48,0.09089999999969223,-61,17.85609999999997,67.0,2021-09-01 18:10:09+00:00,48,1.252100000000155,-61,19.814899999999852,78.0,Owen Power,Ross Hefford,,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,241,241,1,309,3.5,4,1.75,4,,,,1 - NORMAL - No damage to gear,1003.0,18.5,3,,4,1,1,,,,,1.0,2,10.0,4,4,False,False,30.18,1.74,1.75,2021-09-01 14:09:13.601000+00:00,dan,2021-09-01 19:25:25.119000+00:00,teleost_bridge,15,1884,1,,6,1,3,1,,,13,33
